Number,R2,Complexity,Random,Noise level,Simplified correlations
0,0.988178258,10,0,0, 
0,0.988178258,10,0,0.001, 
0,0.988184941,13,0,0.01, 
0,0.988178258,10,0,0.1, 
0,0.993028726,14,1,0, 
0,0.993028726,14,1,0.001, 
0,0.990602222,10,1,0.01, 
0,0.993028726,14,1,0.1,
0,0.988324695,13,2,0, 
0,0.988324695,13,2,0.001,
0,0.988469993,17,2,0.01, 
0,0.988324695,13,2,0.1, 
0,0.986141122,15,3,0, 
0,0.986141122,15,3,0.001, 
0,0.986595477,20,3,0.01, 
0,0.986141122,15,3,0.1,
0,0.990403087,10,4,0,
0,0.990403087,10,4,0.001,
0,0.990752488,14,4,0.01, 
0,0.990403087,10,4,0.1, 
1,1,11,0,0, 
1,1,11,0,0.001,
1,1,11,0,0.01,
1,1,11,0,0.1,
1,1,11,1,0,
1,1,11,1,0.001,
1,1,12,1,0.01, 
1,1,11,1,0.1,
1,1,11,2,0,
1,1,11,2,0.001,
1,1,11,2,0.01,
1,1,11,2,0.1,
1,1,11,3,0,
1,1,11,3,0.001,
1,1,11,3,0.01,
1,1,11,3,0.1,
1,1,11,4,0,
1,1,11,4,0.001,
1,1,11,4,0.01,
1,1,11,4,0.1,
36,0.994365632,8,0,0, 
36,0.994365632,8,0,0.001, 
36,0.994365632,8,0,0.01, 
36,0.994365632,8,0,0.1, 
36,0.993709851,10,1,0, 
36,0.993709851,10,1,0.001, 
36,0.995940861,8,1,0.01, 
36,0.993709851,10,1,0.1, 
36,0.993101178,12,2,0, 
36,0.993101178,12,2,0.001, 
36,0.993101178,12,2,0.01, 
36,0.993101178,12,2,0.1, 
36,0.996157728,8,3,0, 
36,0.996157728,8,3,0.001, 
36,0.996157728,8,3,0.01, 
36,0.996157728,8,3,0.1, 
36,0.99280241,13,4,0, 
36,0.99280241,13,4,0.001, 
36,0.994072692,15,4,0.01, 
36,0.99280241,13,4,0.1, 
45,0.998828082,9,0,0, 
45,0.998828082,9,0,0.001, 
45,0.998828095,11,0,0.01, 
45,0.998828082,9,0,0.1, 
45,0.999955487,13,1,0, 
45,0.999955487,13,1,0.001, 
45,0.999631614,19,1,0.01, 
45,0.999955487,13,1,0.1, 
45,0.99911666,15,2,0, 
45,0.99911666,15,2,0.001, 
45,0.99911666,15,2,0.01, 
45,0.99911666,15,2,0.1, 
45,0.997811806,11,3,0, 
45,0.997811806,11,3,0.001,
45,0.997846262,15,3,0.01, 
45,0.997811806,11,3,0.1, 
45,0.999188901,9,4,0, 
45,0.999188901,9,4,0.001, 
45,0.987526121,9,4,0.01, 
45,0.999188901,9,4,0.1, 
47,1,4,0,0, 
47,1,4,0,0.001, 
47,1,4,0,0.01, 
47,1,4,0,0.1, 
47,1,4,1,0, 
47,1,4,1,0.001, 
47,1,4,1,0.01, 
47,1,4,1,0.1, 
47,1,4,2,0, 
47,1,4,2,0.001, 
47,1,4,2,0.01, 
47,1,4,2,0.1, 
47,1,4,3,0, 
47,1,4,3,0.001, 
47,1,4,3,0.01, 
47,1,4,3,0.1, 
47,1,4,4,0, 
47,1,4,4,0.001, 
47,1,4,4,0.01, 
47,1,4,4,0.1, 
48,1,3,0,0, 
48,1,3,0,0.001, 
48,1,3,0,0.01, 
48,1,3,0,0.1, 
48,1,3,1,0, 
48,1,3,1,0.001, 
48,1,3,1,0.01, 
48,1,3,1,0.1, 
48,1,3,2,0, 
48,1,3,2,0.001, 
48,1,3,2,0.01, 
48,1,3,2,0.1, 
48,1,3,3,0, 
48,1,3,3,0.001, 
48,1,3,3,0.01, 
48,1,3,3,0.1, 
48,1,3,4,0, 
48,1,3,4,0.001, 
48,1,3,4,0.01, 
48,1,3,4,0.1, 
56,1,10,0,0, 
56,1,10,0,0.001,
56,1,10,0,0.01,
56,1,10,0,0.1,
56,1,10,1,0,
56,1,10,1,0.001,
56,1,10,1,0.01,
56,1,10,1,0.1,
56,1,10,2,0,
56,1,10,2,0.001,
56,1,10,2,0.01,
56,1,10,2,0.1,
56,1,10,3,0,
56,1,10,3,0.001,
56,1,10,3,0.01,
56,1,10,3,0.1,
56,1,10,4,0,
56,1,10,4,0.001,
56,1,10,4,0.01,
56,1,10,4,0.1,
59,0.997287502,13,0,0, 
59,0.997287502,13,0,0.001, 
59,0.997287502,13,0,0.01, 
59,0.997286381,15,0,0.1, 
59,0.996383165,12,1,0, 
59,0.996383165,12,1,0.001,
59,0.99779269,13,1,0.01, 
59,0.996383786,9,1,0.1, 
59,0.996460425,10,2,0, 
59,0.996460425,10,2,0.001, 
59,0.996460407,10,2,0.01, 
59,0.996460407,10,2,0.1, 
59,0.996310201,15,3,0, 
59,0.996310201,15,3,0.001, 
59,0.996309936,14,3,0.01, 
59,0.996309936,14,3,0.1, 
59,0.996432119,13,4,0, 
59,0.996432119,13,4,0.001, 
59,0.996423758,8,4,0.01, 
59,0.996423758,8,4,0.1, 
88,1,8,0,0,
88,1,8,0,0.001,
88,1,8,0,0.01,
88,1,8,0,0.1,
88,1,10,1,0, 
88,1,10,1,0.001,
88,1,10,1,0.01,
88,1,10,1,0.1,
88,1,10,2,0, 
88,1,10,2,0.001,
88,1,10,2,0.01,
88,1,10,2,0.1,
88,1,8,3,0, 
88,1,8,3,0.001,
88,1,8,3,0.01,
88,1,8,3,0.1,
88,1,10,4,0, 
88,1,10,4,0.001,
88,1,10,4,0.01,
88,1,10,4,0.1,
89,0.999281782,12,0,0, 
89,0.9992775,14,0,0.001, 
89,0.999281782,12,0,0.01,
89,0.999281782,12,0,0.1,
89,0.999230999,14,1,0, 
89,0.999240103,15,1,0.001, 
89,0.999230999,14,1,0.01,
89,0.999230999,14,1,0.1,
89,0.999590243,12,2,0, 
89,0.999275557,14,2,0.001, 
89,0.999590243,12,2,0.01,
89,0.999590243,12,2,0.1,
89,0.999306082,12,3,0, 
89,0.999238838,19,3,0.001, 
89,0.999306082,12,3,0.01,
89,0.999306082,12,3,0.1,
89,0.99923184,11,4,0,
89,0.99923184,11,4,0.001,
89,0.99923184,11,4,0.01,
89,0.99923184,11,4,0.1, 
101,0.889967844,12,0,0, 
101,0.864397304,12,0,0.001, 
101,0.864397304,12,0,0.01, 
101,0.889967844,12,0,0.1, 
101,0.918195274,12,1,0, 
101,0.990220788,12,1,0.001, 
101,0.918195274,12,1,0.01,
101,0.990220788,12,1,0.1, 
101,0.987626314,12,2,0, 
101,0.899588505,12,2,0.001, 
101,0.899588505,12,2,0.01, 
101,0.899588505,12,2,0.1,
101,0.880161838,9,3,0, 
101,0.880161838,9,3,0.001, 
101,0.91752487,12,3,0.01, 
101,0.91752487,12,3,0.1, 
101,0.988965411,12,4,0, 
101,0.991092985,12,4,0.001, 
101,0.988965411,12,4,0.01, 
101,0.991092985,12,4,0.1, 
